date,value,mom_pct,yoy_pct
2020-01-01,266.716,,
2020-02-01,267.37,0.2452046371421268,
2020-03-01,267.054,-0.11818827841568735,
2020-04-01,265.746,-0.48978858208451603,
2020-05-01,265.412,-0.12568392374673332,
2020-06-01,265.849,0.16464967672902286,
2020-07-01,267.389,0.5792762056656242,
2020-08-01,268.422,0.38632853258735445,
2020-09-01,268.933,0.19037187711885561,
2020-10-01,269.306,0.1386962552011095,
2020-11-01,269.981,0.25064424854999157,
2020-12-01,270.341,0.13334271670970566,
2021-01-01,270.387,0.017015547031329348,1.3763703714812836
2021-02-01,270.793,0.15015514799159302,1.280248344990098
2021-03-01,271.459,0.2459443190924393,1.6494791315614155
2021-04-01,273.66,0.8108038414641028,2.9780316542864504
2021-05-01,275.465,0.6595775780164903,3.7876961101984907
2021-06-01,277.651,0.7935672408473149,4.439362194328367
2021-07-01,278.648,0.359083885885525,4.210719214328185
2021-08-01,278.997,0.1252476242427747,3.9396919775577244
2021-09-01,279.698,0.25125718197684943,4.002855729865806
2021-10-01,281.668,0.704331099972122,4.590317334184912
2021-11-01,283.406,0.6170384992260303,4.972572143965692
2021-12-01,285.18,0.6259571074712644,5.488993530393094
2022-01-01,286.757,0.5529840802300345,6.05428515424189
2022-02-01,288.273,0.5286706165847699,6.4551151617656455
2022-03-01,289.056,0.27161752921707194,6.482378554404167
2022-04-01,290.514,0.5044005313849409,6.158737119052837
2022-05-01,292.063,0.5331928925972562,6.0254478790408905
2022-06-01,294.05,0.6803326679517774,5.906335651591377
2022-07-01,295.088,0.35300119027377175,5.899916740834321
2022-08-01,296.535,0.4903621970395289,6.286089097732228
2022-09-01,298.226,0.5702530898544778,6.624287624509306
2022-10-01,299.399,0.3933258669599482,6.294999786983246
2022-11-01,300.325,0.30928627016122423,5.969880665899807
2022-12-01,301.394,0.35594772329976543,5.685531944736666
2023-01-01,302.642,0.4140759271916483,5.539533472591773
2023-02-01,304.123,0.4893570621394172,5.498260329618088
2023-03-01,305.147,0.3367058722950844,5.566741392671326
2023-04-01,306.534,0.4545350273802429,5.514364195873522
2023-05-01,307.652,0.3647229997324919,5.337547036084689
2023-06-01,308.322,0.2177785289873002,4.853596327155252
2023-07-01,308.96,0.20692652486684615,4.700970557935236
2023-08-01,309.58,0.20067322630761275,4.399143440066089
2023-09-01,310.539,0.3097745332385715,4.128747996485882
2023-10-01,311.457,0.29561504352111356,4.027401561127464
2023-11-01,312.392,0.30020195404181216,4.017980521102138
2023-12-01,313.195,0.25704883607775564,3.9154727698627045
2024-01-01,314.319,0.3588818467727739,3.8583540949372663
2024-02-01,315.564,0.39609441363710474,3.7619647313751337
2024-03-01,316.792,0.3891445158509699,3.8161935067360986
2024-04-01,317.649,0.27052450819466944,3.6260251717590952
2024-05-01,318.095,0.14040654936740005,3.394419668976645
2024-06-01,318.39,0.09273959037392476,3.2654173234475614
2024-07-01,318.94,0.17274411884795615,3.2301916105644812
2024-08-01,319.75,0.25396626324700744,3.2850959364300047
2024-09-01,320.732,0.30711493354182995,3.2823574494668994
2024-10-01,321.731,0.3114750009353573,3.298689706765301
2024-11-01,322.657,0.28781808405158316,3.2859356193500444
2024-12-01,323.259,0.18657583749928097,3.2133335461932644
2025-01-01,324.638,0.4265929177532435,3.282970485398584
2025-02-01,325.465,0.2547452855180321,3.13755688228059
2025-03-01,325.69,0.06913185749619633,2.808783050077035
2025-04-01,326.467,0.23857041972428217,2.7760200724699313
2025-05-01,326.893,0.13048792067804627,2.7658403935930886
2025-06-01,327.658,0.23402152998077685,2.910895442696071
2025-07-01,328.682,0.3125209822436803,3.0544930080893096
2025-08-01,329.7,0.3097218588179462,3.111806098514469
2025-09-01,330.418,0.2177737336973129,3.0199668258857892
2025-11-01,331.043,0.18915434389168428,2.8943434111105226
2025-12-01,331.814,0.2329002576704653,2.837998245815232
2026-01-01,332.793,0.2950448142634121,2.9493378374616075
2026-02-01,333.512,0.21605021740240815,2.7335062438778035
