date,value
2022-02-05,210000
2022-02-12,234000
2022-02-19,225000
2022-02-26,209000
2022-03-05,222000
2022-03-12,217000
2022-03-19,207000
2022-03-26,214000
2022-04-02,215000
2022-04-09,213000
2022-04-16,209000
2022-04-23,210000
2022-04-30,219000
2022-05-07,204000
2022-05-14,225000
2022-05-21,211000
2022-05-28,200000
2022-06-04,214000
2022-06-11,213000
2022-06-18,215000
2022-06-25,212000
2022-07-02,215000
2022-07-09,212000
2022-07-16,216000
2022-07-23,220000
2022-07-30,228000
2022-08-06,221000
2022-08-13,220000
2022-08-20,215000
2022-08-27,210000
2022-09-03,204000
2022-09-10,197000
2022-09-17,201000
2022-09-24,189000
2022-10-01,204000
2022-10-08,206000
2022-10-15,199000
2022-10-22,201000
2022-10-29,202000
2022-11-05,204000
2022-11-12,210000
2022-11-19,220000
2022-11-26,209000
2022-12-03,209000
2022-12-10,210000
2022-12-17,213000
2022-12-24,204000
2022-12-31,204000
2023-01-07,208000
2023-01-14,203000
2023-01-21,203000
2023-01-28,200000
2023-02-04,215000
2023-02-11,219000
2023-02-18,217000
2023-02-25,209000
2023-03-04,229000
2023-03-11,222000
2023-03-18,230000
2023-03-25,234000
2023-04-01,217000
2023-04-08,219000
2023-04-15,223000
2023-04-22,210000
2023-04-29,214000
2023-05-06,223000
2023-05-13,225000
2023-05-20,227000
2023-05-27,230000
2023-06-03,253000
2023-06-10,258000
2023-06-17,260000
2023-06-24,236000
2023-07-01,248000
2023-07-08,229000
2023-07-15,228000
2023-07-22,231000
2023-07-29,238000
2023-08-05,258000
2023-08-12,248000
2023-08-19,240000
2023-08-26,234000
2023-09-02,227000
2023-09-09,227000
2023-09-16,210000
2023-09-23,215000
2023-09-30,216000
2023-10-07,210000
2023-10-14,200000
2023-10-21,214000
2023-10-28,217000
2023-11-04,216000
2023-11-11,229000
2023-11-18,213000
2023-11-25,214000
2023-12-02,216000
2023-12-09,204000
2023-12-16,209000
2023-12-23,210000
2023-12-30,198000
2024-01-06,199000
2024-01-13,193000
2024-01-20,223000
2024-01-27,225000
2024-02-03,214000
2024-02-10,212000
2024-02-17,203000
2024-02-24,214000
2024-03-02,212000
2024-03-09,213000
2024-03-16,213000
2024-03-23,214000
2024-03-30,223000
2024-04-06,212000
2024-04-13,211000
2024-04-20,209000
2024-04-27,209000
2024-05-04,229000
2024-05-11,222000
2024-05-18,216000
2024-05-25,221000
2024-06-01,229000
2024-06-08,241000
2024-06-15,237000
2024-06-22,233000
2024-06-29,238000
2024-07-06,222000
2024-07-13,240000
2024-07-20,236000
2024-07-27,248000
2024-08-03,234000
2024-08-10,228000
2024-08-17,232000
2024-08-24,232000
2024-08-31,228000
2024-09-07,230000
2024-09-14,222000
2024-09-21,221000
2024-09-28,227000
2024-10-05,259000
2024-10-12,240000
2024-10-19,228000
2024-10-26,218000
2024-11-02,221000
2024-11-09,219000
2024-11-16,216000
2024-11-23,216000
2024-11-30,225000
2024-12-07,239000
2024-12-14,222000
2024-12-21,219000
2024-12-28,209000
2025-01-04,205000
2025-01-11,217000
2025-01-18,222000
2025-01-25,210000
2025-02-01,222000
2025-02-08,215000
2025-02-15,224000
2025-02-22,243000
2025-03-01,224000
2025-03-08,223000
2025-03-15,225000
2025-03-22,225000
2025-03-29,219000
2025-04-05,224000
2025-04-12,216000
2025-04-19,223000
2025-04-26,241000
2025-05-03,229000
2025-05-10,228000
2025-05-17,226000
2025-05-24,239000
2025-05-31,246000
2025-06-07,248000
2025-06-14,246000
2025-06-21,237000
2025-06-28,232000
2025-07-05,228000
2025-07-12,221000
2025-07-19,217000
2025-07-26,219000
2025-08-02,227000
2025-08-09,224000
2025-08-16,234000
2025-08-23,229000
2025-08-30,236000
2025-09-06,264000
2025-09-13,232000
2025-09-20,219000
2025-09-27,224000
2025-10-04,235000
2025-10-11,220000
2025-10-18,232000
2025-10-25,220000
2025-11-01,229000
2025-11-08,228000
2025-11-15,222000
2025-11-22,217000
2025-11-29,192000
2025-12-06,237000
2025-12-13,224000
2025-12-20,215000
2025-12-27,200000
2026-01-03,207000
2026-01-10,199000
2026-01-17,210000
2026-01-24,209000
2026-01-31,232000
2026-02-07,229000
2026-02-14,208000
2026-02-21,213000
2026-02-28,214000
2026-03-07,213000
