date,value,mom_pct,yoy_pct
2020-01-01,95.02,,
2020-02-01,90.61,-4.6411281835402995,
2020-03-01,90.34,-0.2979803553691651,
2020-04-01,75.02,-16.95815806951517,
2020-05-01,86.9,15.835777126099714,
2020-06-01,91.21,4.959723820483308,
2020-07-01,99.06,8.606512443810988,
2020-08-01,102.25,3.220270543105186,
2020-09-01,99.18,-3.0024449877750548,
2020-10-01,105.89,6.765476910667467,
2020-11-01,109.85,3.739729908395506,
2020-12-01,126.51,15.166135639508438,
2021-01-01,94.64,-25.191684451821995,-0.39991580719848097
2021-02-01,87.09,-7.977599323753171,-3.8847809292572477
2021-03-01,92.36,6.051211390515543,2.235997343369478
2021-04-01,92.81,0.48722390645301594,23.713676352972545
2021-05-01,100.75,8.55511259562547,15.937859608745676
2021-06-01,96.99,-3.7320099255583217,6.337024449073558
2021-07-01,104.76,8.011135168574102,5.754088431253779
2021-08-01,98.1,-6.357388316151214,-4.058679706601476
2021-09-01,94.04,-4.138634046890921,-5.182496471062715
2021-10-01,98.65,4.902169289663982,-6.837283973935215
2021-11-01,105.23,6.67004561581348,-4.205735093309048
2021-12-01,122.79,16.687256485793036,-2.940479013516717
2022-01-01,93.23,-24.073621630425933,-1.4898562975485974
2022-02-01,88.2,-5.395259036790733,1.274543575611431
2022-03-01,96.92,9.886621315192734,4.93720225205716
2022-04-01,96.99,0.07222451506396776,4.503825018855712
2022-05-01,100.59,3.7117228580266115,-0.15880893300247445
2022-06-01,96.86,-3.7081220797296033,-0.1340344365398427
2022-07-01,99.18,2.39520958083832,-5.32646048109966
2022-08-01,99.63,0.45372050816696596,1.559633027522933
2022-09-01,97.04,-2.599618588778474,3.190131858783496
2022-10-01,101.36,4.451772464962889,2.747085656360859
2022-11-01,106.67,5.238752959747428,1.3684310557825707
2022-12-01,123.32,15.608887222274292,0.43163124032901123
2023-01-01,95.77,-22.34025300032436,2.7244449211627053
2023-02-01,89.28,-6.7766523963662895,1.2244897959183598
2023-03-01,100.28,12.320788530465943,3.4667767230705637
2023-04-01,97.54,-2.732349421619462,0.5670687699762977
2023-05-01,99.57,2.081197457453343,-1.0140172979421491
2023-06-01,98.27,-1.3056141408054556,1.4557092711129371
2023-07-01,101.67,3.459855500152642,2.5105868118572294
2023-08-01,102.12,0.4426084390675822,2.499247214694389
2023-09-01,100.2,-1.8801410105757976,3.2563891178895243
2023-10-01,101.52,1.3173652694610682,0.15785319652723562
2023-11-01,109.42,7.78171788810087,2.578044436111382
2023-12-01,124.93,14.17473953573387,1.3055465455725113
2024-01-01,99.59,-20.283358680861284,3.988722982144721
2024-02-01,95.84,-3.7654382970177758,7.347670250896066
2024-03-01,105.28,9.849749582637735,4.986039090546468
2024-04-01,98.91,-6.05053191489362,1.4045519786753946
2024-05-01,106.56,7.734303912647866,7.020186803254003
2024-06-01,101.57,-4.682807807807821,3.3580950442657853
2024-07-01,105.57,3.9381707197007065,3.8359398052522753
2024-08-01,106.82,1.1840484986264999,4.60242851547199
2024-09-01,101.78,-4.718217562254257,1.576846307385238
2024-10-01,107.62,5.737865985458845,6.008668242710802
2024-11-01,114.37,6.27206838877532,4.523853043319326
2024-12-01,126.63,10.719594299204328,1.360762026734963
2025-01-01,102.74,-18.865987522703943,3.1629681694949285
2025-02-01,97.39,-5.20731944714814,1.6172787979966685
2025-03-01,104.49,7.290276209056357,-0.7503799392097332
2025-04-01,104.22,-0.2583979328165342,5.368516833484982
2025-05-01,108.54,4.145077720207269,1.858108108108114
2025-06-01,102.1,-5.933296480560168,0.5218076203603372
2025-07-01,106.9,4.701273261508332,1.2598276025386212
2025-08-01,107.2,0.280636108512633,0.3557386257255324
2025-09-01,102.68,-4.216417910447756,0.884260168991946
2025-10-01,108.71,5.872613946240746,1.0128228953725893
2025-11-01,116.05,6.751908748045254,1.468916673952947
2025-12-01,129.65,11.719086600603191,2.384900892363584
2026-01-01,105.63,-18.526802930968,2.812925832197788
