date,value,mom_pct,yoy_pct
2020-01-01,0.35,,
2020-02-01,0.14,-59.999999999999986,
2020-03-01,0.17,21.42857142857142,
2020-04-01,0.0,-100.0,
2020-05-01,-0.07,-inf,
2020-06-01,0.21,-399.99999999999994,
2020-07-01,0.17,-19.047619047619037,
2020-08-01,0.23,35.29411764705881,
2020-09-01,0.28,21.739130434782616,
2020-10-01,0.47,67.85714285714283,
2020-11-01,0.45,-4.255319148936165,
2020-12-01,0.69,53.33333333333332,
2021-01-01,0.47,-31.88405797101449,34.2857142857143
2021-02-01,0.43,-8.510638297872342,207.1428571428571
2021-03-01,0.36,-16.279069767441868,111.7647058823529
2021-04-01,0.27,-24.99999999999999,inf
2021-05-01,0.6,122.22222222222219,-957.1428571428571
2021-06-01,0.55,-8.333333333333325,161.90476190476195
2021-07-01,0.61,10.90909090909089,258.8235294117647
2021-08-01,0.7,14.754098360655732,204.3478260869565
2021-09-01,0.67,-4.2857142857142705,139.28571428571428
2021-10-01,0.88,31.343283582089555,87.2340425531915
2021-11-01,0.65,-26.136363636363637,44.44444444444444
2021-12-01,0.67,3.076923076923088,-2.898550724637672
2022-01-01,0.68,1.4925373134328401,44.6808510638298
2022-02-01,0.72,5.88235294117645,67.44186046511626
2022-03-01,0.94,30.555555555555557,161.11111111111111
2022-04-01,0.98,4.255319148936176,262.96296296296293
2022-05-01,0.89,-9.183673469387754,48.33333333333334
2022-06-01,0.71,-20.2247191011236,29.09090909090908
2022-07-01,0.49,-30.98591549295775,-19.672131147540984
2022-08-01,0.51,4.081632653061229,-27.142857142857135
2022-09-01,0.44,-13.725490196078427,-34.32835820895522
2022-10-01,0.41,-6.818181818181824,-53.40909090909092
2022-11-01,0.35,-14.634146341463417,-46.15384615384615
2022-12-01,0.49,40.000000000000014,-26.865671641791057
2023-01-01,0.56,14.285714285714302,-17.647058823529406
2023-02-01,0.62,10.714285714285698,-13.888888888888884
2023-03-01,0.38,-38.70967741935484,-59.57446808510638
2023-04-01,0.45,18.421052631578938,-54.08163265306123
2023-05-01,0.46,2.2222222222222143,-48.31460674157303
2023-06-01,0.06,-86.95652173913044,-91.54929577464789
2023-07-01,0.19,216.66666666666669,-61.224489795918366
2023-08-01,0.37,94.73684210526316,-27.450980392156865
2023-09-01,0.25,-32.432432432432435,-43.18181818181818
2023-10-01,0.17,-31.999999999999996,-58.536585365853654
2023-11-01,0.18,5.88235294117645,-48.57142857142856
2023-12-01,0.37,105.55555555555559,-24.489795918367353
2024-01-01,0.37,0.0,-33.92857142857143
2024-02-01,0.48,29.729729729729737,-22.580645161290324
2024-03-01,0.15,-68.75,-60.526315789473685
2024-04-01,0.27,80.00000000000003,-40.0
2024-05-01,0.39,44.44444444444444,-15.217391304347828
2024-06-01,0.23,-41.02564102564102,283.33333333333337
2024-07-01,0.38,65.21739130434783,100.0
2024-08-01,0.24,-36.8421052631579,-35.13513513513513
2024-09-01,0.21,-12.5,-16.000000000000004
2024-10-01,0.39,85.71428571428572,129.41176470588235
2024-11-01,0.19,-51.28205128205128,5.555555555555558
2024-12-01,0.46,142.10526315789474,24.32432432432432
2025-01-01,0.59,28.260869565217384,59.45945945945945
2025-02-01,0.55,-6.779661016949145,14.583333333333348
2025-03-01,0.42,-23.636363636363644,179.99999999999997
2025-04-01,0.41,-2.3809523809523836,51.85185185185184
2025-05-01,0.29,-29.268292682926834,-25.64102564102565
2025-06-01,0.26,-10.344827586206884,13.043478260869556
2025-07-01,0.13,-50.0,-65.78947368421053
2025-08-01,0.18,38.46153846153846,-25.0
2025-09-01,0.15,-16.666666666666664,-28.57142857142857
2025-10-01,0.2,33.33333333333335,-48.71794871794871
2025-11-01,0.19,-5.000000000000004,0.0
2025-12-01,0.38,100.0,-17.391304347826086
2026-01-01,0.44,15.789473684210531,-25.423728813559322
2026-02-01,0.47,6.818181818181812,-14.545454545454561
