date,value
2020-01-01,0.8238349241998877
2020-02-01,0.8258685041630778
2020-03-01,1.2225992534781134
2020-04-01,5.011723838471559
2020-05-01,3.729330007127584
2020-06-01,2.880078316201664
2020-07-01,2.504134762633997
2020-08-01,2.0937937470835277
2020-09-01,1.928121640301029
2020-10-01,1.628714327743454
2020-11-01,1.5680351906158358
2020-12-01,1.5901373099069835
2021-01-01,1.432560737224239
2021-02-01,1.279289638431072
2021-03-01,1.1497823273326273
2021-04-01,1.043655039589129
2021-05-01,0.9302792847096645
2021-06-01,0.9187905804826049
2021-07-01,0.7949558408449422
2021-08-01,0.7605776306107432
2021-09-01,0.7024183127192173
2021-10-01,0.6466453105534793
2021-11-01,0.6008572193945888
2021-12-01,0.5566840277777778
2022-01-01,0.5827832292595897
2022-02-01,0.5405197469652933
2022-03-01,0.4904479310625152
2022-04-01,0.5054379900514291
2022-05-01,0.5183355006501951
2022-06-01,0.5295577417353541
2022-07-01,0.4984450587422253
2022-08-01,0.5855132778438367
2022-09-01,0.5321296296296296
2022-10-01,0.5694457739063846
2022-11-01,0.5566215199398044
2022-12-01,0.5302696752889378
2023-01-01,0.5592169025004846
2023-02-01,0.607385614284265
2023-03-01,0.6068358363542206
2023-04-01,0.57666064619707
2023-05-01,0.6494449188727583
2023-06-01,0.6519607843137255
2023-07-01,0.6841862076931963
2023-08-01,0.6780851523665442
2023-09-01,0.677610973107247
2023-10-01,0.7532634032634032
2023-11-01,0.7237851662404092
2023-12-01,0.7428403755868545
2024-01-01,0.7370494151348771
2024-02-01,0.7684834123222749
2024-03-01,0.7946624421155253
2024-04-01,0.8614689865852039
2024-05-01,0.8515805705474171
2024-06-01,0.9278586839266451
2024-07-01,0.9558308645300296
2024-08-01,0.9392287234042553
2024-09-01,0.9864611839262567
2024-10-01,0.9419975606450739
2024-11-01,0.93695479777954
2024-12-01,0.9485949280328992
2025-01-01,0.9238325931906877
2025-02-01,0.9809444904722452
2025-03-01,1.025891829689298
2025-04-01,1.0080304311073542
2025-05-01,0.9915184678522572
2025-06-01,0.9791782343142699
2025-07-01,1.025814642403724
2025-08-01,1.066628125451655
2025-09-01,1.0608174082856745
2025-11-01,1.1365761028337715
2025-12-01,1.1454961832061068
2026-01-01,1.0607543910164123
